team,points,goaldiff
Leicester,81,32
Arsenal,71,29
Tottenham,70,34
Man City,66,30
Man United,66,14
Southampton,63,18
West Ham,62,14
Liverpool,60,13
Stoke,51,-14
Chelsea,50,6
Everton,47,4
Swansea,47,-10
Watford,45,-10
West Brom,43,-14
Crystal Palace,42,-12
Bournemouth,42,-22
Sunderland,39,-14
Newcastle,37,-21
Norwich,34,-28
Aston Villa,17,-49
