team,points,goaldiff
Arsenal,90,47
Chelsea,79,37
Man United,75,29
Liverpool,60,18
Newcastle,56,12
Aston Villa,56,4
Charlton,53,0
Bolton,53,-8
Fulham,52,6
Birmingham,50,-5
Middlesbrough,48,-8
Southampton,47,-1
Portsmouth,45,-7
Tottenham,45,-10
Blackburn,44,-8
Man City,41,1
Everton,39,-12
Leicester,33,-17
Wolves,33,-39
Leeds,33,-39
