team,points,goaldiff
Chelsea,87,41.0
Man City,79,45.0
Arsenal,75,35.0
Man United,70,25.0
Tottenham,64,5.0
Liverpool,62,4.0
Southampton,60,21.0
Swansea,56,-3.0
Stoke,54,3.0
Crystal Palace,48,-4.0
Everton,47,-2.0
West Ham,47,-3.0
West Brom,44,-13.0
Leicester,41,-9.0
Newcastle,39,-23.0
Sunderland,38,-22.0
Aston Villa,38,-26.0
Hull,35,-18.0
Burnley,33,-25.0
QPR,30,-31.0
,0,
