team,points,goaldiff
Man United,90,44
Liverpool,86,50
Chelsea,83,44
Arsenal,72,31
Everton,63,18
Aston Villa,62,6
Fulham,53,5
Tottenham,51,0
West Ham,51,-3
Man City,50,8
Wigan,45,-11
Stoke,45,-17
Bolton,41,-12
Portsmouth,41,-19
Blackburn,41,-20
Sunderland,36,-20
Hull,35,-25
Newcastle,34,-19
Middlesbrough,32,-29
West Brom,32,-31
