team,points,goaldiff
Man United,89,43
Man City,78,32
Chelsea,75,36
Arsenal,73,35
Tottenham,72,20
Everton,63,15
Liverpool,61,28
West Brom,49,-4
Swansea,46,-4
West Ham,46,-8
Norwich,44,-17
Fulham,43,-10
Stoke,42,-11
Southampton,41,-11
Aston Villa,41,-22
Newcastle,41,-23
Sunderland,39,-13
Wigan,36,-26
Reading,28,-30
QPR,25,-30
