team,points,goaldiff
Man United,82,38
Newcastle,78,29
Liverpool,71,36
Aston Villa,63,17
Arsenal,63,17
Everton,61,20
Blackburn,61,14
Tottenham,61,12
Nott'm Forest,58,-4
West Ham,51,-9
Chelsea,50,2
Middlesbrough,43,-15
Leeds,43,-17
Wimbledon,41,-15
Sheffield Weds,40,-13
Coventry,38,-18
Southampton,38,-18
Man City,38,-25
QPR,33,-19
Bolton,29,-32
