team,points,goaldiff
Man United,80,41
Chelsea,71,36
Man City,71,27
Arsenal,68,29
Tottenham,62,9
Liverpool,58,15
Everton,54,6
Fulham,49,6
Aston Villa,48,-11
Sunderland,47,-11
West Brom,47,-15
Newcastle,46,-1
Stoke,46,-2
Bolton,46,-4
Blackburn,43,-13
Wigan,42,-21
Wolves,40,-20
Birmingham,39,-21
Blackpool,39,-23
West Ham,33,-27
