team,points,goaldiff
Man City,89,64
Man United,89,56
Arsenal,70,25
Tottenham,69,25
Newcastle,65,5
Chelsea,64,19
Everton,56,10
Liverpool,52,7
Fulham,52,-3
West Brom,47,-7
Swansea,47,-7
Norwich,47,-14
Sunderland,45,-1
Stoke,45,-17
Wigan,43,-20
Aston Villa,38,-16
QPR,37,-23
Bolton,36,-31
Blackburn,31,-30
Wolves,25,-42
