team,points,goaldiff
Arsenal,87,43
Liverpool,80,37
Man United,77,42
Newcastle,71,22
Leeds,66,16
Chelsea,64,28
West Ham,53,-9
Aston Villa,50,-1
Tottenham,50,-4
Blackburn,46,4
Southampton,45,-8
Middlesbrough,45,-12
Fulham,44,-8
Charlton,44,-11
Everton,43,-12
Bolton,40,-18
Sunderland,40,-22
Ipswich,36,-23
Derby,30,-30
Leicester,28,-34
