team,points,goaldiff
Man United,87,58
Chelsea,85,39
Arsenal,83,43
Liverpool,76,39
Everton,65,22
Aston Villa,60,20
Blackburn,58,2
Portsmouth,57,8
Man City,55,-8
West Ham,49,-8
Tottenham,46,5
Newcastle,43,-20
Middlesbrough,42,-10
Wigan,40,-17
Sunderland,39,-23
Bolton,37,-18
Fulham,36,-22
Reading,36,-25
Birmingham,35,-16
Derby,11,-69
