team,points,goaldiff
Man City,86,65
Liverpool,84,51
Chelsea,82,44
Arsenal,79,27
Everton,72,22
Tottenham,69,4
Man United,64,21
Southampton,56,8
Stoke,50,-7
Newcastle,49,-16
Crystal Palace,45,-15
Swansea,42,0
West Ham,40,-11
Sunderland,38,-19
Aston Villa,38,-22
Hull,37,-15
West Brom,36,-16
Norwich,33,-34
Fulham,32,-45
Cardiff,30,-42
