team,points,goaldiff
Blackburn,89,41
Man United,88,49
Nott'm Forest,77,29
Liverpool,74,28
Leeds,73,21
Newcastle,72,20
Tottenham,62,8
QPR,60,2
Wimbledon,56,-17
Southampton,54,-2
Chelsea,54,-5
Arsenal,51,3
Sheffield Weds,51,-8
West Ham,50,-4
Everton,50,-7
Coventry,50,-18
Man City,49,-11
Aston Villa,48,-5
Crystal Palace,45,-15
Norwich,43,-17
Leicester,29,-35
Ipswich,27,-57
