team,points,goaldiff
Man United,91,52
Arsenal,73,30
Leeds,69,15
Liverpool,67,21
Chelsea,65,19
Aston Villa,58,11
Sunderland,58,1
Leicester,55,0
West Ham,55,-1
Tottenham,53,8
Newcastle,52,9
Middlesbrough,52,-6
Everton,50,10
Coventry,44,-7
Southampton,44,-17
Derby,38,-13
Bradford,36,-30
Wimbledon,33,-28
Sheffield Weds,31,-32
Watford,24,-42
