team,points,goaldiff
Man United,80,48
Arsenal,70,25
Liverpool,69,32
Leeds,68,21
Ipswich,66,15
Chelsea,61,23
Sunderland,57,5
Aston Villa,54,3
Charlton,52,-7
Southampton,52,-8
Newcastle,51,-6
Tottenham,49,-7
Leicester,48,-12
Middlesbrough,42,0
West Ham,42,-5
Everton,42,-14
Derby,42,-22
Man City,34,-24
Coventry,34,-27
Bradford,26,-40
