team,points,goaldiff
Chelsea,95,57
Arsenal,83,51
Man United,77,32
Everton,61,-1
Liverpool,58,11
Bolton,58,5
Middlesbrough,55,7
Man City,52,8
Tottenham,52,6
Aston Villa,47,-7
Charlton,46,-16
Birmingham,45,-6
Fulham,44,-8
Newcastle,44,-10
Blackburn,42,-11
Portsmouth,39,-16
West Brom,34,-25
Crystal Palace,33,-21
Norwich,33,-35
Southampton,32,-21
