team,points,goaldiff
Chelsea,91,50
Man United,83,38
Liverpool,82,32
Arsenal,67,37
Tottenham,65,15
Blackburn,63,9
Newcastle,58,5
Bolton,56,8
West Ham,55,-3
Wigan,51,-7
Everton,50,-15
Fulham,48,-10
Charlton,47,-14
Middlesbrough,45,-10
Man City,43,-5
Aston Villa,42,-13
Portsmouth,38,-25
Birmingham,34,-22
West Brom,30,-27
Sunderland,15,-43
