team,points,goaldiff
Man United,92,42
Blackburn,84,27
Newcastle,77,41
Arsenal,71,25
Leeds,70,26
Wimbledon,65,3
Sheffield Weds,64,22
Liverpool,60,4
QPR,60,1
Aston Villa,57,-4
Coventry,56,-2
Norwich,53,4
West Ham,52,-11
Chelsea,51,-4
Tottenham,45,-5
Man City,45,-11
Everton,44,-21
Southampton,43,-17
Ipswich,43,-23
Sheffield United,42,-18
Oldham,40,-26
Swindon,30,-53
