team,points,goaldiff
Arsenal,78,35
Man United,77,47
Liverpool,65,26
Chelsea,63,28
Leeds,59,11
Blackburn,58,5
Aston Villa,57,1
West Ham,56,-1
Derby,55,3
Leicester,53,10
Coventry,52,2
Southampton,48,-5
Newcastle,44,-9
Wimbledon,44,-12
Tottenham,44,-12
Sheffield Weds,44,-15
Everton,40,-15
Bolton,40,-20
Barnsley,35,-45
Crystal Palace,33,-34
