team,points,goaldiff
Man United,83,40
Arsenal,78,43
Newcastle,69,15
Chelsea,67,30
Liverpool,64,20
Blackburn,60,9
Everton,59,-1
Southampton,52,-3
Man City,51,-7
Tottenham,50,-11
Middlesboro,49,4
Charlton,49,-11
Birmingham,48,-8
Fulham,48,-9
Leeds,47,1
Aston Villa,45,-5
Bolton,44,-10
West Ham,42,-17
West Brom,26,-36
Sunderland,19,-44
