team,points,goaldiff
Man United,79,43
Arsenal,78,42
Chelsea,75,27
Leeds,67,28
West Ham,57,-7
Aston Villa,55,5
Liverpool,54,19
Derby,52,-5
Middlesbrough,51,-6
Leicester,49,-6
Tottenham,47,-3
Sheffield Weds,46,-1
Newcastle,46,-6
Everton,43,-5
Coventry,42,-12
Wimbledon,42,-23
Southampton,41,-27
Charlton,36,-15
Blackburn,35,-14
Nott'm Forest,30,-34
