team,points,goaldiff
Man United,75,32
Newcastle,68,33
Arsenal,68,30
Liverpool,68,25
Aston Villa,61,13
Chelsea,59,3
Sheffield Weds,57,-1
Wimbledon,56,3
Leicester,47,-8
Tottenham,46,-7
Leeds,46,-10
Derby,46,-13
Blackburn,42,-1
West Ham,42,-9
Middlesbrough,42,-9
Everton,42,-13
Southampton,41,-6
Coventry,41,-16
Sunderland,40,-18
Nott'm Forest,34,-28
