Player	Team	Pts	GD
Walsh	Man City	99	+79
Jones	Man United	80	+40
Theaker	Tottenham	76	+39
Geary	Liverpool	75	+44
Reddy	Chelsea	72	+28
Dorian	Arsenal	62	+23
Theaker	Burnley	56	-2
Geary	Everton	50	-12
Dorian	Leicester	47	-5
Dorian	Crystal Palace	43	-11
Walsh	Bournemouth	42	-17
Theaker	Newcastle	42	-12
Reddy	Watford	42	-20
Walsh	West Ham	40	-22
Reddy	Brighton	40	-18
Jones	Huddersfield	38	-30
Geary	Southampton	37	-19
	Swansea	35	-27
	West Brom	32	-24
Jones	Stoke	31	-34
